ber,baud_bps,time_s,file_size_bytes,delivered
0,9600,11.750032,10968,yes
0.00001,9600,11.748679,10968,yes
0.00001,9600,15.752862,10968,yes
0.00001,9600,12.809361,10968,yes
0.00002,9600,13.870708,10968,yes
0.00002,9600,19.489340,10968,no
0.00002,9600,12.815814,10968,yes
0.00003,9600,15.952853,10968,yes
0.00003,9600,16.003941,10968,yes
0.00003,9600,12.815414,10968,yes
0.00004,9600,18.132055,10968,yes
0.00004,9600,16.000590,10968,yes
0.00005,9600,14.934563,10968,yes
0.00005,9600,25.866035,10968,no
0.00005,9600,26.927028,10968,no
0.00005,9600,20.269452,10968,yes
0.00006,9600,30.105270,10968,no
0.00006,9600,19.500878,10968,no
0.00006,9600,20.573293,10968,no
0.00007,9600,19.494337,10968,no
0.00007,9600,16.302993,10968,no
0.00007,9600,21.291169,10968,yes
0.00008,9600,19.991954,10968,no
0.00008,9600,20.563599,10968,no
0.00008,9600,15.236527,10968,no
